	batch	cell
ola_mES_a2i_2_92.counts	1	ola_mES_a2i_2_92.counts
ola_mES_a2i_2_93.counts	1.00606748074718	ola_mES_a2i_2_93.counts
ola_mES_a2i_2_94.counts	1.03663612401654	ola_mES_a2i_2_94.counts
ola_mES_a2i_2_95.counts	1.00258301134808	ola_mES_a2i_2_95.counts
ola_mES_a2i_2_96.counts	1.00222582808458	ola_mES_a2i_2_96.counts
ola_mES_a2i_3_10.counts	1.07376475223297	ola_mES_a2i_3_10.counts
ola_mES_a2i_3_11.counts	1.28681932288275	ola_mES_a2i_3_11.counts
ola_mES_a2i_3_13.counts	1.18867078311078	ola_mES_a2i_3_13.counts
ola_mES_a2i_3_16.counts	1.03654690323917	ola_mES_a2i_3_16.counts
ola_mES_a2i_3_17.counts	1.10890944605377	ola_mES_a2i_3_17.counts
ola_mES_a2i_3_18.counts	1.06575461053242	ola_mES_a2i_3_18.counts
ola_mES_a2i_3_2.counts	1.15499813684608	ola_mES_a2i_3_2.counts
ola_mES_a2i_3_20.counts	1.05453492798359	ola_mES_a2i_3_20.counts
ola_mES_a2i_3_21.counts	1.07161217536811	ola_mES_a2i_3_21.counts
ola_mES_a2i_3_22.counts	1.04754820055101	ola_mES_a2i_3_22.counts
ola_mES_a2i_3_24.counts	1.26194277239459	ola_mES_a2i_3_24.counts
ola_mES_a2i_3_25.counts	1.06264639079515	ola_mES_a2i_3_25.counts
ola_mES_a2i_3_26.counts	1.07361869483216	ola_mES_a2i_3_26.counts
ola_mES_a2i_3_28.counts	1.05439006629691	ola_mES_a2i_3_28.counts
ola_mES_a2i_3_29.counts	1.05006447350528	ola_mES_a2i_3_29.counts
ola_mES_a2i_3_3.counts	1.2427318530217	ola_mES_a2i_3_3.counts
ola_mES_a2i_3_30.counts	1.04216020729842	ola_mES_a2i_3_30.counts
ola_mES_a2i_3_31.counts	1.27250449965165	ola_mES_a2i_3_31.counts
ola_mES_a2i_3_33.counts	1.1184157308002	ola_mES_a2i_3_33.counts
ola_mES_a2i_3_34.counts	1.0562383367352	ola_mES_a2i_3_34.counts
ola_mES_a2i_3_37.counts	1.31582643455548	ola_mES_a2i_3_37.counts
ola_mES_a2i_3_38.counts	1.0545906998422	ola_mES_a2i_3_38.counts
ola_mES_a2i_3_39.counts	1.08618729461552	ola_mES_a2i_3_39.counts
ola_mES_a2i_3_4.counts	1.20784293355692	ola_mES_a2i_3_4.counts
ola_mES_a2i_3_40.counts	1.07876691798803	ola_mES_a2i_3_40.counts
ola_mES_a2i_3_41.counts	1.03499659642377	ola_mES_a2i_3_41.counts
ola_mES_a2i_3_42.counts	1.05666861512881	ola_mES_a2i_3_42.counts
ola_mES_a2i_3_44.counts	1.06039114210284	ola_mES_a2i_3_44.counts
ola_mES_a2i_3_45.counts	1.05914935399109	ola_mES_a2i_3_45.counts
ola_mES_a2i_3_47.counts	1.03978150480482	ola_mES_a2i_3_47.counts
ola_mES_a2i_3_49.counts	1.03659670065757	ola_mES_a2i_3_49.counts
ola_mES_a2i_3_50.counts	1.19386083144099	ola_mES_a2i_3_50.counts
ola_mES_a2i_3_52.counts	1.19013816881687	ola_mES_a2i_3_52.counts
ola_mES_a2i_3_54.counts	1.02771632787529	ola_mES_a2i_3_54.counts
ola_mES_a2i_3_56.counts	1.07572074071671	ola_mES_a2i_3_56.counts
ola_mES_a2i_3_58.counts	1.30743002279871	ola_mES_a2i_3_58.counts
ola_mES_a2i_3_59.counts	1.07140868280132	ola_mES_a2i_3_59.counts
ola_mES_a2i_3_6.counts	1.09359204351022	ola_mES_a2i_3_6.counts
ola_mES_a2i_3_62.counts	1.12990349650944	ola_mES_a2i_3_62.counts
ola_mES_a2i_3_64.counts	1.11003282881314	ola_mES_a2i_3_64.counts
ola_mES_a2i_3_65.counts	1.04170687130363	ola_mES_a2i_3_65.counts
ola_mES_a2i_3_66.counts	1.08186650050569	ola_mES_a2i_3_66.counts
ola_mES_a2i_3_67.counts	1.05814309415776	ola_mES_a2i_3_67.counts
ola_mES_a2i_3_68.counts	1.11041061044668	ola_mES_a2i_3_68.counts
ola_mES_a2i_3_69.counts	1.04882087432424	ola_mES_a2i_3_69.counts
ola_mES_a2i_3_7.counts	1.10228137013906	ola_mES_a2i_3_7.counts
ola_mES_a2i_3_71.counts	1.04779854582184	ola_mES_a2i_3_71.counts
ola_mES_a2i_3_73.counts	1.24453447613519	ola_mES_a2i_3_73.counts
ola_mES_a2i_3_75.counts	1.19260939301978	ola_mES_a2i_3_75.counts
ola_mES_a2i_3_76.counts	1.18374200184157	ola_mES_a2i_3_76.counts
ola_mES_a2i_3_77.counts	1.0709397468321	ola_mES_a2i_3_77.counts
ola_mES_a2i_3_8.counts	1.01221949611967	ola_mES_a2i_3_8.counts
ola_mES_a2i_3_80.counts	1.30591363841667	ola_mES_a2i_3_80.counts
ola_mES_a2i_3_81.counts	1.40215850452636	ola_mES_a2i_3_81.counts
ola_mES_a2i_3_82.counts	1.02934452950964	ola_mES_a2i_3_82.counts
ola_mES_a2i_3_83.counts	1.25046218861026	ola_mES_a2i_3_83.counts
ola_mES_a2i_3_84.counts	1.16058361906246	ola_mES_a2i_3_84.counts
ola_mES_a2i_3_85.counts	1.14717072015035	ola_mES_a2i_3_85.counts
ola_mES_a2i_3_86.counts	1.05404450499742	ola_mES_a2i_3_86.counts
ola_mES_a2i_3_89.counts	1.05748720938645	ola_mES_a2i_3_89.counts
ola_mES_a2i_3_9.counts	1.04568208306832	ola_mES_a2i_3_9.counts
ola_mES_a2i_3_90.counts	1.03157564436775	ola_mES_a2i_3_90.counts
ola_mES_a2i_3_91.counts	1.0881209172827	ola_mES_a2i_3_91.counts
ola_mES_a2i_3_92.counts	1.11666266584663	ola_mES_a2i_3_92.counts
ola_mES_a2i_3_94.counts	1.06508781218297	ola_mES_a2i_3_94.counts
ola_mES_a2i_3_96.counts	1.30791270396349	ola_mES_a2i_3_96.counts
ola_mES_lif_2_1.counts	1.00479555063347	ola_mES_lif_2_1.counts
ola_mES_lif_2_10.counts	1.0330504028984	ola_mES_lif_2_10.counts
ola_mES_lif_2_11.counts	1.00651199446708	ola_mES_lif_2_11.counts
ola_mES_lif_2_12.counts	1.5320877275133	ola_mES_lif_2_12.counts
ola_mES_lif_2_13.counts	1.01412307169071	ola_mES_lif_2_13.counts
ola_mES_lif_2_14.counts	1.02386554403946	ola_mES_lif_2_14.counts
ola_mES_lif_2_15.counts	1.01792983905271	ola_mES_lif_2_15.counts
ola_mES_lif_2_16.counts	1.00601226793765	ola_mES_lif_2_16.counts
ola_mES_lif_2_17.counts	1.01630750059306	ola_mES_lif_2_17.counts
ola_mES_lif_2_18.counts	1.00651572590267	ola_mES_lif_2_18.counts
ola_mES_lif_2_19.counts	1.00528554165489	ola_mES_lif_2_19.counts
ola_mES_lif_2_2.counts	1.00591706952016	ola_mES_lif_2_2.counts
ola_mES_lif_2_20.counts	1.02346214477809	ola_mES_lif_2_20.counts
